esperanto;english
admirinda;admirable
afabla;kind, friendly
agrabla;pleasant, nice
alia;other
alta;high, tall
ambaŭ;both
angla;English
aparta;separate
atenta;attentive, careful
bela;lovely, beautiful
blanka;white
blua;blue
bona;good
bruna;brown
certa;sure, certain
cetera;remaining
ĉia;all, every kind of
ĉina;Chinese
dekstra;right, right-hand
maldekstra;left, left-handed
dika;thick, fat
diversa;varied
dolĉa;sweet
dura;hard (as in "not soft", not as in "difficult")
ebena;even, flat, level, smooth
ebria;drunk, intoxicated
efika;effective, effectual, efficacious
egala;equal, even, level
facila;easy
fama;famous
feliĉa;happy
fina;final
flava;yellow
forta;strong
franca;French
fremda;foreign, alien
frida;cold, frigid
frua;early
gaja;happy, cheerful
germana;German
granda;large, great
grava;important
griza;gray
ĝusta;correct, exact
havebla;available
hela;bright, clear
hinda;Indian
hispana;Spanish
ĥina;Chinese
ia;some kind of
ina;female, feminine
insulta;insulting, offensive
interna;internal, inside
japana;Japanese
juna;young
justa;just, fair
ĵaluza;jealous
kara;dear, expensive, lovely, valuable
kelka;some
kia;what kind of, what sort of
klara;clear
komforta;comfortable
komuna;common, general
kontenta;satisfied, content
kuraĝa;brave, courageous
kvieta;quiet
laca;tired
larĝa;wide
lasta;last
libera;free, independent
longa;long
mirinda;wonderful
multa;much, a lot of
necesa;necessary
nestabila;unstable
nigra;black
norda;north
nova;new
ofta;frequent, common
plena;full
prava;right, correct
precipa;main, principal
preta;ready
profunda;deep
proksima;near, close
propra;(one's) own
pura;clean, pure
rapida;quick, fast
riĉa;rich
ruĝa;red
sama;same
sana;healthy
sata;full, not hungry
seka;dry
simpla;simple
sola;alone
sufiĉa;sufficient, enough
trankvila;calm, quiet
tuta;whole, entire
utila;useful
varma;warm, hot
vera;true, real
verda;green
absolute;absolutely
almenaŭ;at least
ankaŭ;also, too
ankoraŭ;still, yet
apenaŭ;barely, scarcely
baldaŭ;soon
bis;encore, one more time
certe;surely, certainly
cetere;besides, for the rest, moreover, what's more
ĉie;everywhere
ĉirkaŭ;around, approximately
damne;damn
denove;again, once more, all over again, anew
domaĝe;that's too bad, what a pity
eble;maybe, perhaps, possibly
eĉ;even
ege;extremely
ekde;from, since
ekscese;excessively
facile;easily
for;far, away
haste;hastily, hurriedly
hieraŭ;yesterday
hodiaŭ;today
iom;a little, rather, some, somewhat, to some extent
iom post iom;gradually, little by little
jam;already
ĵus;just, just now
morgaŭ;tomorrow
nun;now
nur;only
plej;most (superlative)
pli;more (comparative)
plu;further, more (adverb)
preskaŭ;almost
tre;very
tuj;immediately
kvazaŭ;as if, as though
tamen;however, nevertheless
aŭ;or
aŭ ... aŭ;either ... or
ĉar;because, since
do;therefore, so, then
kaj;and
ke;that
kvankam;although
nek;nor
nek ... nek ...;neither... nor...
ol;than (in comparisions)
se;if
sed;but
anstataŭ;instead of
dum;for, during, whereas, while, whilst
ĝis;till, until, as far as (also a goodbye, meaning "See you later!")
adiaŭ;adieu, farewell, bye, goodbye, good-bye
ajn;-ever (as in "whenever" or "whoever")
bonvolu;please
ĉu ne;isn't that so? or not?
inter ... kaj ...;... to ..., from ... to ...
jen ... jen ...;sometimes ... sometimes ..., now ... now ...
kaj ... kaj ...;both ... and ...
ktp;and so on, et cetera (stands for "kaj tiel plu")
aha;aha, ah-ha
aĥ;ah, oh, ow
aj;ow, ouch
ba;bah, pooh, nuts
bonvenon;welcome
ek!;let's go!, move it!
ha!;ah!
ho!;o!, oh!
ho ve!;oh dear!, alas!
nu;well!, now!
acero;maple
aero;air
adjektivo;adjective
adreso;address
adverbo;adverb
aeroplano;airplane, aeroplane
afero;matter, affair, thing
Afriko;Africa
ago;act, action
aĝo;age
akcento;accent, stress
akcidento;accident
akvo;water
amiko;friend
Anglolando;England
Anglio;England
Anglo;Englishperson, Englishman
aprilo;April
arbo;tree
arto;art
